,neighbourhood,lat,lon,year,single_detached_house,apartment_five_storeys_plus,movable_dwelling,semi_detached_house,row_house,duplex,apartment_five_storeys_less,other_house,average_house_value,shelter_costs_owned,shelter_costs_rented
30,Don Valley Village,43.78329369,-79.35364413,2001,2150,5095,0,535,1445,45,70,5,241824,925,974
31,Dorset Park,43.75927437,-79.27890794,2001,2065,3805,0,305,925,205,340,0,159187,765,922
32,Dovercourt-Wallace Emerson-Juncti,43.66567693,-79.4385407,2001,2670,1330,0,4400,875,660,2610,140,264116,800,990
33,Downsview-Roding-CFB,43.73329235,-79.49049735,2001,4410,3165,0,820,475,180,3270,45,231741,752,871
34,Dufferin Grove,43.65542833,-79.43734104,2001,660,1160,0,1290,160,410,1195,45,278023,848,1048
35,East End-Danforth,43.68417388,-79.29935867,2001,2035,2035,0,2075,305,390,1725,45,290457,690,1272
36,Edenbridge-Humber Valley,43.67088591,-79.52245776,2001,2620,1790,0,85,180,35,1075,0,483734,936,1239
37,Eglinton East,43.7409223,-79.24559804,2001,1890,4965,0,155,195,220,425,5,163419,726,885
38,Elms-Old Rexdale,43.72151887,-79.54898272,2001,1185,1415,0,85,430,10,25,0,163039,802,961
39,Englemount-Lawrence,43.72034467,-79.43740855,2001,2435,2355,0,10,225,125,2355,25,345676,751,1110
40,Eringate-Centennial-West Deane,43.65801676,-79.58044524,2001,4040,1655,0,290,470,10,70,0,241685,920,934
41,Etobicoke West Mall,43.64506262,-79.56893877,2001,1025,2685,0,105,220,20,65,0,187993,895,901
42,Flemingdon Park,43.71592975,-79.33264597,2001,15,6265,0,180,805,0,480,0,126255,774,966
43,Forest Hill North,43.70421756,-79.42814316,2001,1565,3380,0,10,0,0,485,5,517466,940,1428
44,Forest Hill South,43.69452576,-79.41431786,2001,1815,2440,5,65,45,85,1010,15,726664,1001,1469
45,Glenfield-Jane Heights,43.74563575,-79.51346532,2001,510,3655,0,3855,1270,10,760,0,199043,679,874
46,Greenwood-Coxwell,43.67261231,-79.32431802,2001,1410,535,0,2505,500,70,1115,10,235168,688,1040
47,Guildwood,43.74882934,-79.19505535,2001,2310,1090,0,120,295,5,85,0,224425,898,944
48,Henry Farm,43.77114414,-79.34124067,2001,505,2935,0,60,480,0,0,0,224780,960,1085
49,High Park North,43.65756491,-79.46630217,2001,1600,5705,0,660,105,685,1615,35,323536,942,1172
50,High Park-Swansea,43.64506458,-79.46787222,2001,3160,1910,0,565,70,1045,2610,20,354207,874,1213
51,Highland Creek,43.79077477,-79.17747247,2001,3210,0,0,0,0,275,0,0,260555,755,1014
52,Hillcrest Village,43.80298783,-79.354804,2001,1800,1945,0,1110,1090,40,380,0,240009,563,935
53,Humber Heights-Westmount,43.6922328,-79.5224162,2001,1850,2055,5,55,50,5,170,0,272896,864,954
54,Humber Summit,43.75891975,-79.55617474,2001,420,725,0,2245,140,5,180,0,213919,753,895
55,Humbermede,43.74342952,-79.54236712,2001,575,1570,0,1775,60,25,470,5,194295,802,919
56,Humewood-Cedarvale,43.69136981,-79.42768335,2001,2005,1750,0,265,20,185,2335,0,423537,809,1318
57,Ionview,43.73536441,-79.27247049,2001,1375,3055,0,405,105,30,40,0,174793,717,900
58,Islington-City Centre West,43.63346335,-79.54331654,2001,5365,6200,0,135,185,80,450,5,274436,890,1071
59,Junction Area,43.66788977,-79.47143987,2001,1050,100,0,920,430,640,1580,55,263247,851,1122
60,Keelesdale-Eglinton West,43.68572747,-79.47143711,2001,2035,495,10,320,10,295,660,5,196112,661,922
61,Kennedy Park,43.72555572,-79.26038221,2001,1765,2925,5,700,110,405,580,20,174518,616,892
62,Kensington-Chinatown,43.65355413,-79.39723988,2001,225,3605,0,680,1035,60,1625,230,267631,834,1134
63,Kingsview Village-The Westway,43.69899257,-79.54786331,2001,2310,4920,0,175,285,95,185,0,205572,874,881
64,Kingsway South,43.65352043,-79.5105768,2001,2370,260,0,65,45,0,340,10,512334,1362,1340
65,L'Amoreaux,43.79571603,-79.31408424,2001,1320,715,0,555,50,65,360,5,395115,676,1227
66,Lambton Baby Point,43.65742013,-79.49604526,2001,3810,6850,0,1355,2435,190,50,0,204523,763,907
67,Lansing-Westgate,43.75427115,-79.42474772,2001,2635,1190,5,60,0,25,580,10,372579,1106,1259
